condition,n_rules,te_median,te_null_median,te_excess_median
phase_1,50,0.0031923012435384076,0.003512643180430229,0.0
phase_2,50,0.07191082429633786,0.003963530570678378,0.058077283813171066
control,50,0.11257404023084577,0.04760663409264512,0.068805252327335
